Step,PushCube-v1__sac__2__1735571227 - eval/success_once,PushCube-v1__sac__1__1735570467 - eval/success_once,PushCube-v1__sac__3__1735569691 - eval/success_once,mean,std
0,0,0,0,0,0
5056,0,0,0,0,0
10048,0,0,0,0,0
15040,0,0,0,0,0
20032,0,0,0,0,0
25024,0.01,0,0.01,0.006666667,0.005773503
30016,0.02,0.109999999,0.079999998,0.069999999,0.045825756
35008,0.680000007,0.799999952,0.519999981,0.666666647,0.140475371
40000,0.98999995,1,1,0.99666665,0.005773532
45056,0.98999995,1,0.98999995,0.9933333,0.005773532
50048,0.98999995,1,0.98999995,0.9933333,0.005773532
55040,0.979999959,1,1,0.99333332,0.011547029
60032,0.98999995,0.979999959,1,0.98999997,0.010000021
65024,0.98999995,0.98999995,0.98999995,0.98999995,0
70016,0.979999959,0.98999995,0.979999959,0.983333289,0.005773497
75008,0.98999995,0.969999969,1,0.98666664,0.015275264
80000,0.98999995,0.969999969,1,0.98666664,0.015275264
